seconds,frame
20160520_074033,1463744433.06,1
20160520_074033,1463744433.1,2
20160520_074033,1463744433.13,3
20160520_074033,1463744433.16,4
20160520_074033,1463744433.19,5
20160520_074033,1463744433.22,6
20160520_074033,1463744433.25,7
20160520_074033,1463744433.28,8
20160520_074033,1463744433.31,9
20160520_074033,1463744433.34,10
20160520_074033,1463744433.37,11
20160520_074033,1463744433.41,12
20160520_074033,1463744433.44,13
20160520_074033,1463744433.47,14
20160520_074033,1463744433.5,15
20160520_074033,1463744433.53,16
20160520_074033,1463744433.56,17
20160520_074033,1463744433.59,18
20160520_074033,1463744433.62,19
20160520_074033,1463744433.65,20
20160520_074033,1463744433.68,21
20160520_074033,1463744433.72,22
20160520_074033,1463744433.75,23
20160520_074033,1463744433.78,24
20160520_074033,1463744433.81,25
20160520_074033,1463744433.84,26
20160520_074033,1463744433.87,27
20160520_074033,1463744433.9,28
20160520_074033,1463744433.93,29
20160520_074033,1463744433.96,30
20160520_074033,1463744433.99,31
20160520_074034,1463744434.03,32
20160520_074034,1463744434.06,33
20160520_074034,1463744434.09,34
20160520_074034,1463744434.12,35
20160520_074034,1463744434.15,36
20160520_074034,1463744434.18,37
20160520_074034,1463744434.21,38
20160520_074034,1463744434.24,39
20160520_074034,1463744434.27,40
20160520_074034,1463744434.3,41
20160520_074034,1463744434.34,42
20160520_074034,1463744434.37,43
20160520_074034,1463744434.4,44
20160520_074034,1463744434.43,45
20160520_074034,1463744434.46,46
20160520_074034,1463744434.49,47
20160520_074034,1463744434.52,48
20160520_074034,1463744434.55,49
20160520_074034,1463744434.58,50
20160520_074034,1463744434.61,51
20160520_074034,1463744434.65,52
20160520_074034,1463744434.68,53
20160520_074034,1463744434.71,54
20160520_074034,1463744434.74,55
20160520_074034,1463744434.77,56
20160520_074034,1463744434.8,57
20160520_074034,1463744434.83,58
20160520_074034,1463744434.86,59
20160520_074034,1463744434.89,60
20160520_074034,1463744434.92,61
20160520_074034,1463744434.96,62
20160520_074034,1463744434.99,63
20160520_074035,1463744435.02,64
20160520_074035,1463744435.05,65
20160520_074035,1463744435.08,66
20160520_074035,1463744435.11,67
20160520_074035,1463744435.21,68
20160520_074035,1463744435.22,69
20160520_074035,1463744435.23,70
20160520_074035,1463744435.27,71
20160520_074035,1463744435.3,72
20160520_074035,1463744435.33,73
20160520_074035,1463744435.36,74
20160520_074035,1463744435.39,75
20160520_074035,1463744435.42,76
20160520_074035,1463744435.45,77
20160520_074035,1463744435.48,78
20160520_074035,1463744435.51,79
20160520_074035,1463744435.54,80
20160520_074035,1463744435.58,81
20160520_074035,1463744435.61,82
20160520_074035,1463744435.64,83
20160520_074035,1463744435.67,84
20160520_074035,1463744435.7,85
20160520_074035,1463744435.73,86
20160520_074035,1463744435.76,87
20160520_074035,1463744435.79,88
20160520_074035,1463744435.82,89
20160520_074035,1463744435.85,90
20160520_074035,1463744435.89,91
20160520_074035,1463744435.92,92
20160520_074035,1463744435.95,93
20160520_074035,1463744435.98,94
20160520_074036,1463744436.01,95
20160520_074036,1463744436.04,96
20160520_074036,1463744436.07,97
20160520_074036,1463744436.1,98
20160520_074036,1463744436.13,99
20160520_074036,1463744436.16,100
20160520_074036,1463744436.2,101
20160520_074036,1463744436.23,102
20160520_074036,1463744436.26,103
20160520_074036,1463744436.29,104
20160520_074036,1463744436.32,105
20160520_074036,1463744436.35,106
20160520_074036,1463744436.38,107
20160520_074036,1463744436.41,108
20160520_074036,1463744436.44,109
20160520_074036,1463744436.47,110
20160520_074036,1463744436.51,111
20160520_074036,1463744436.54,112
20160520_074036,1463744436.57,113
20160520_074036,1463744436.6,114
20160520_074036,1463744436.63,115
20160520_074036,1463744436.66,116
20160520_074036,1463744436.69,117
20160520_074036,1463744436.72,118
20160520_074036,1463744436.75,119
20160520_074036,1463744436.78,120
20160520_074036,1463744436.82,121
20160520_074036,1463744436.85,122
20160520_074036,1463744436.88,123
20160520_074036,1463744436.91,124
20160520_074036,1463744436.94,125
20160520_074036,1463744436.97,126
20160520_074037,1463744437.0,127
20160520_074037,1463744437.03,128
20160520_074037,1463744437.06,129
20160520_074037,1463744437.09,130
20160520_074037,1463744437.13,131
