seconds,frame
1463628107.94,1
1463628107.97,2
1463628108.0,3
1463628108.03,4
1463628108.06,5
1463628108.09,6
1463628108.12,7
1463628108.15,8
1463628108.19,9
1463628108.22,10
1463628108.25,11
1463628108.28,12
1463628108.31,13
1463628108.34,14
1463628108.37,15
1463628108.4,16
1463628108.43,17
1463628108.46,18
1463628108.5,19
1463628108.53,20
1463628108.56,21
1463628108.59,22
1463628108.62,23
1463628108.65,24
1463628108.68,25
1463628108.71,26
1463628108.74,27
1463628108.77,28
1463628108.81,29
1463628108.84,30
1463628108.87,31
1463628108.9,32
1463628108.93,33
1463628108.96,34
1463628108.99,35
1463628109.02,36
1463628109.05,37
1463628109.08,38
1463628109.12,39
1463628109.15,40
1463628109.18,41
1463628109.21,42
1463628109.24,43
1463628109.27,44
1463628109.3,45
1463628109.33,46
1463628109.36,47
1463628109.39,48
1463628109.43,49
1463628109.46,50
1463628109.49,51
1463628109.52,52
1463628109.55,53
1463628109.58,54
1463628109.61,55
1463628109.64,56
1463628109.67,57
1463628109.7,58
1463628109.74,59
1463628109.77,60
1463628109.8,61
1463628109.83,62
1463628109.86,63
1463628109.89,64
1463628109.92,65
1463628109.95,66
1463628109.98,67
1463628110.01,68
1463628110.05,69
1463628110.08,70
1463628110.11,71
1463628110.14,72
1463628110.17,73
1463628110.2,74
1463628110.23,75
1463628110.26,76
1463628110.29,77
1463628110.32,78
1463628110.36,79
1463628110.39,80
1463628110.42,81
1463628110.45,82
1463628110.48,83
1463628110.51,84
1463628110.54,85
1463628110.57,86
1463628110.6,87
1463628110.63,88
1463628110.67,89
1463628110.7,90
1463628110.73,91
1463628110.76,92
1463628110.79,93
1463628110.82,94
1463628110.85,95
1463628110.88,96
1463628110.91,97
1463628110.94,98
1463628110.98,99
1463628111.01,100
1463628111.04,101
1463628111.07,102
1463628111.1,103
1463628111.13,104
1463628111.16,105
1463628111.19,106
1463628111.22,107
1463628111.25,108
1463628111.29,109
1463628111.32,110
1463628111.35,111
1463628111.38,112
1463628111.41,113
1463628111.44,114
1463628111.47,115
1463628111.5,116
1463628111.53,117
1463628111.56,118
1463628111.6,119
1463628111.63,120
1463628111.66,121
1463628111.69,122
1463628111.72,123
1463628111.75,124
1463628111.78,125
1463628111.81,126
1463628111.84,127
1463628111.87,128
1463628111.91,129
1463628111.94,130
1463628111.97,131
1463628112.0,132
1463628112.03,133
1463628112.06,134
1463628112.09,135
1463628112.12,136
1463628112.15,137
1463628112.18,138
1463628112.22,139
1463628112.25,140
1463628112.28,141
1463628112.31,142
1463628112.34,143
1463628112.37,144
1463628112.4,145
1463628112.43,146
1463628112.46,147
1463628112.49,148
1463628112.53,149
1463628112.56,150
1463628112.59,151
1463628112.62,152
1463628112.65,153
1463628112.68,154
1463628112.71,155
1463628112.74,156
1463628112.77,157
1463628112.8,158
1463628112.84,159
1463628112.87,160
1463628112.9,161
1463628112.93,162
1463628112.96,163
1463628112.99,164
1463628113.02,165
1463628113.05,166
1463628113.08,167
1463628113.11,168
1463628113.15,169
1463628113.18,170
1463628113.21,171
1463628113.24,172
1463628113.27,173
1463628113.3,174
1463628113.33,175
1463628113.36,176
1463628113.39,177
1463628113.42,178
1463628113.46,179
1463628113.49,180
1463628113.52,181
1463628113.55,182
1463628113.58,183
1463628113.61,184
1463628113.64,185
1463628113.67,186
1463628113.7,187
1463628113.73,188
1463628113.77,189
1463628113.8,190
1463628113.83,191
1463628113.86,192
1463628113.89,193
1463628113.92,194
1463628113.95,195
1463628113.98,196
1463628114.01,197
1463628114.04,198
1463628114.08,199
1463628114.11,200
1463628114.14,201
1463628114.17,202
1463628114.2,203
1463628114.23,204
1463628114.26,205
1463628114.29,206
1463628114.32,207
1463628114.35,208
1463628114.39,209
1463628114.42,210
1463628114.45,211
1463628114.48,212
1463628114.51,213
1463628114.54,214
1463628114.57,215
1463628114.6,216
1463628114.63,217
1463628114.66,218
1463628114.7,219
1463628114.73,220
1463628114.76,221
1463628114.79,222
1463628114.82,223
1463628114.85,224
1463628114.88,225
1463628114.91,226
1463628114.94,227
1463628114.97,228
1463628115.01,229
1463628115.04,230
1463628115.07,231
1463628115.1,232
1463628115.13,233
1463628115.16,234
1463628115.19,235
1463628115.22,236
1463628115.25,237
1463628115.28,238
1463628115.32,239
1463628115.35,240
1463628115.38,241
1463628115.41,242
1463628115.44,243
1463628115.47,244
1463628115.5,245
1463628115.53,246
1463628115.56,247
1463628115.59,248
1463628115.63,249
1463628115.66,250
1463628115.69,251
1463628115.72,252
1463628115.75,253
1463628115.78,254
1463628115.81,255
1463628115.84,256
1463628115.87,257
1463628115.9,258
1463628115.94,259
1463628115.97,260
1463628116.0,261
1463628116.03,262
1463628116.06,263
1463628116.09,264
1463628116.12,265
1463628116.15,266
1463628116.18,267
1463628116.21,268
1463628116.25,269
1463628116.28,270
1463628116.31,271
1463628116.34,272
1463628116.37,273
1463628116.4,274
1463628116.43,275
1463628116.46,276
1463628116.49,277
1463628116.52,278
1463628116.56,279
1463628116.59,280
1463628116.62,281
1463628116.65,282
1463628116.68,283
1463628116.71,284
1463628116.74,285
1463628116.77,286
1463628116.8,287
1463628116.83,288
1463628116.87,289
1463628116.9,290
1463628116.93,291
1463628116.96,292
1463628116.99,293
1463628117.02,294
1463628117.05,295
1463628117.08,296
1463628117.11,297
1463628117.14,298
1463628117.18,299
1463628117.21,300
1463628117.24,301
1463628117.27,302
1463628117.3,303
1463628117.33,304
1463628117.36,305
1463628117.39,306
1463628117.42,307
1463628117.45,308
1463628117.49,309
1463628117.52,310
1463628117.55,311
1463628117.58,312
1463628117.61,313
1463628117.64,314
1463628117.67,315
1463628117.7,316
1463628117.73,317
1463628117.76,318
1463628117.8,319
1463628117.83,320
1463628117.86,321
1463628117.89,322
1463628117.92,323
1463628117.95,324
1463628117.98,325
1463628118.01,326
1463628118.04,327
1463628118.07,328
1463628118.11,329
1463628118.14,330
1463628118.17,331
1463628118.2,332
1463628118.23,333
1463628118.26,334
1463628118.29,335
1463628118.32,336
1463628118.35,337
1463628118.38,338
1463628118.42,339
1463628118.45,340
1463628118.48,341
1463628118.51,342
1463628118.54,343
1463628118.57,344
1463628118.6,345
1463628118.63,346
1463628118.66,347
1463628118.69,348
1463628118.73,349
1463628118.76,350
1463628118.79,351
1463628118.82,352
1463628118.85,353
1463628118.88,354
1463628118.91,355
1463628118.94,356
1463628118.97,357
1463628119.0,358
1463628119.04,359
1463628119.07,360
1463628119.1,361
1463628119.13,362
1463628119.16,363
1463628119.19,364
1463628119.22,365
1463628119.25,366
1463628119.28,367
1463628119.31,368
1463628119.35,369
1463628119.38,370
1463628119.41,371
1463628119.44,372
1463628119.47,373
1463628119.5,374
1463628119.53,375
1463628119.56,376
1463628119.59,377
1463628119.62,378
1463628119.66,379
1463628119.69,380
1463628119.72,381
1463628119.75,382
1463628119.78,383
1463628119.81,384
1463628119.84,385
1463628119.87,386
1463628119.9,387
1463628119.93,388
1463628119.97,389
1463628120.0,390
1463628120.03,391
1463628120.06,392
1463628120.09,393
1463628120.12,394
1463628120.15,395
1463628120.18,396
1463628120.21,397
1463628120.24,398
1463628120.28,399
1463628120.31,400
1463628120.34,401
1463628120.37,402
1463628120.4,403
1463628120.43,404
1463628120.46,405
1463628120.49,406
1463628120.52,407
1463628120.55,408
1463628120.59,409
1463628120.62,410
1463628120.65,411
1463628120.68,412
1463628120.71,413
1463628120.74,414
1463628120.77,415
1463628120.8,416
1463628120.83,417
1463628120.86,418
1463628120.9,419
1463628120.93,420
1463628120.96,421
1463628120.99,422
1463628121.02,423
1463628121.05,424
1463628121.08,425
1463628121.11,426
1463628121.14,427
1463628121.17,428
1463628121.21,429
1463628121.24,430
1463628121.27,431
1463628121.3,432
1463628121.33,433
1463628121.36,434
1463628121.39,435
1463628121.42,436
1463628121.45,437
1463628121.48,438
1463628121.52,439
1463628121.55,440
1463628121.58,441
1463628121.61,442
1463628121.64,443
1463628121.67,444
1463628121.7,445
1463628121.73,446
1463628121.76,447
1463628121.79,448
1463628121.83,449
1463628121.86,450
1463628121.89,451
1463628121.92,452
1463628121.95,453
1463628121.98,454
1463628122.01,455
1463628122.04,456
1463628122.07,457
1463628122.1,458
1463628122.14,459
1463628122.17,460
1463628122.2,461
1463628122.23,462
1463628122.26,463
1463628122.29,464
1463628122.32,465
1463628122.35,466
1463628122.38,467
1463628122.41,468
1463628122.45,469
1463628122.48,470
1463628122.51,471
1463628122.54,472
1463628122.57,473
1463628122.6,474
1463628122.63,475
1463628122.66,476
1463628122.69,477
1463628122.72,478
1463628122.76,479
1463628122.79,480
1463628122.82,481
1463628122.85,482
1463628122.88,483
1463628122.91,484
1463628122.94,485
1463628122.97,486
1463628123.0,487
1463628123.03,488
1463628123.07,489
1463628123.1,490
1463628123.13,491
1463628123.16,492
1463628123.19,493
1463628123.22,494
1463628123.25,495
1463628123.28,496
1463628123.31,497
1463628123.34,498
1463628123.38,499
1463628123.41,500
1463628123.44,501
1463628123.47,502
1463628123.5,503
1463628123.53,504
1463628123.56,505
1463628123.59,506
1463628123.62,507
1463628123.65,508
1463628123.69,509
1463628123.72,510
1463628123.75,511
1463628123.78,512
1463628123.81,513
1463628123.84,514
1463628123.87,515
1463628123.9,516
1463628123.93,517
1463628123.96,518
1463628124.0,519
1463628124.03,520
1463628124.06,521
1463628124.09,522
1463628124.12,523
1463628124.15,524
1463628124.18,525
1463628124.21,526
1463628124.24,527
1463628124.27,528
1463628124.31,529
1463628124.34,530
1463628124.37,531
1463628124.4,532
1463628124.43,533
1463628124.46,534
1463628124.49,535
1463628124.52,536
1463628124.55,537
1463628124.58,538
1463628124.62,539
1463628124.65,540
1463628124.68,541
1463628124.71,542
1463628124.74,543
1463628124.77,544
1463628124.8,545
1463628124.83,546
1463628124.86,547
1463628124.89,548
1463628124.93,549
1463628124.96,550
1463628124.99,551
1463628125.02,552
1463628125.05,553
1463628125.08,554
1463628125.11,555
1463628125.14,556
1463628125.17,557
1463628125.2,558
1463628125.24,559
1463628125.27,560
1463628125.3,561
1463628125.33,562
1463628125.36,563
1463628125.39,564
1463628125.42,565
1463628125.45,566
1463628125.48,567
1463628125.51,568
1463628125.55,569
1463628125.58,570
1463628125.61,571
1463628125.64,572
1463628125.67,573
1463628125.7,574
1463628125.73,575
1463628125.76,576
1463628125.79,577
1463628125.82,578
1463628125.86,579
1463628125.89,580
1463628125.92,581
1463628125.95,582
1463628125.98,583
1463628126.01,584
1463628126.04,585
1463628126.07,586
1463628126.1,587
1463628126.13,588
1463628126.17,589
1463628126.2,590
1463628126.23,591
1463628126.26,592
1463628126.29,593
1463628126.32,594
1463628126.35,595
1463628126.38,596
1463628126.41,597
1463628126.44,598
1463628126.48,599
