Idx,Session,date,time,sessionID,trial,fps,width,height,numFrames,ardFrames,ver,file_path
0,20160607,20160607,221518,none,1,30,640,480,599,0,0.1,/home/pi/video/20160607/20160607_221500_t1.txt
1,20160607,20160607,225134,none,1,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_225040_t1.txt
2,20160607,20160607,230118,none,1,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_230024_t1.txt
3,20160607,20160607,231550,none,1,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_231456_t1.txt
4,20160607,20160607,232151,none,1,30,640,480,1798,0,0.1,/home/pi/video/20160607/20160607_232057_t1.txt
5,20160607,20160607,232311,none,2,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_232217_t2.txt
6,20160607,20160607,232757,none,3,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_232703_t3.txt
7,20160607,20160607,235257,none,4,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_235203_t4.txt
8,20160607,20160607,235842,none,5,30,640,480,1799,0,0.1,/home/pi/video/20160607/20160607_235748_t5.txt
9,20160607_xxxyyy,20160607,221634,xxxyyy,2,30,640,480,600,600,0.1,/home/pi/video/20160607_xxxyyy/20160607_221616_xxxyyy_t2.txt
10,20160607_a156,20160607,222620,a156,3,30,640,480,599,600,0.1,/home/pi/video/20160607_a156/20160607_222602_a156_t3.txt
11,20160607_a156,20160607,224319,a156,4,30,640,480,1799,600,0.1,/home/pi/video/20160607_a156/20160607_224225_a156_t4.txt
12,20160607_a156,20160607,224524,a156,5,30,640,480,1799,1307,0.1,/home/pi/video/20160607_a156/20160607_224430_a156_t5.txt
13,20160608,20160608,000207,none,6,30,640,480,1789,0,0.1,/home/pi/video/20160608/20160608_000113_t6.txt
14,20160608,20160608,000353,none,7,30,640,480,1799,0,0.1,/home/pi/video/20160608/20160608_000259_t7.txt
15,20160608,20160608,001647,none,8,30,640,480,1798,0,0.1,/home/pi/video/20160608/20160608_001553_t8.txt
16,20160608,20160608,070447,none,1,30,640,480,1800,0,0.1,/home/pi/video/20160608/20160608_070353_t1.txt
17,20160608,20160608,070632,none,2,30,640,480,1799,0,0.1,/home/pi/video/20160608/20160608_070538_t2.txt
18,20160608,20160608,070745,none,3,30,640,480,1799,0,0.1,/home/pi/video/20160608/20160608_070651_t3.txt
19,20160608,20160608,071141,none,4,30,640,480,1800,0,0.1,/home/pi/video/20160608/20160608_071047_t4.txt
20,20160608,20160608,071256,none,5,30,640,480,1800,0,0.1,/home/pi/video/20160608/20160608_071202_t5.txt
21,20160608_aaa,20160608,001815,aaa,9,30,640,480,1799,0,0.1,/home/pi/video/20160608_aaa/20160608_001721_aaa_t9.txt
22,20160608_aaa,20160608,002255,aaa,10,30,640,480,1796,0,0.1,/home/pi/video/20160608_aaa/20160608_002201_aaa_t10.txt
